HomeTeam,AwayTeam,FTR,B365H,BbAv>2.5,Season
Stoke,Chelsea,A,4.33,2.07,2012
Sunderland,West Ham,H,2.38,2.11,2012
Arsenal,Man City,A,2.63,1.71,2012
Man United,Liverpool,H,1.91,1.58,2012
Chelsea,Southampton,D,1.25,1.48,2012
Liverpool,Norwich,H,1.33,1.51,2012
Man City,Fulham,H,1.25,1.46,2012
Newcastle,Reading,A,1.75,1.72,2012
Swansea,Stoke,H,2.2,2.16,2012
West Brom,Aston Villa,D,1.75,1.81,2012
West Ham,QPR,D,2.1,1.97,2012
Wigan,Sunderland,A,2.15,2.03,2012
Chelsea,Arsenal,H,1.91,1.66,2012
Tottenham,Man United,D,2.9,1.64,2012
Southampton,Everton,D,3.6,1.78,2012
Arsenal,West Ham,H,1.44,1.67,2012
Aston Villa,Newcastle,A,2.9,1.91,2012
QPR,Man City,D,7.5,1.68,2012
Stoke,Wigan,D,2.2,2.26,2012
Sunderland,Swansea,D,2.5,2.06,2012
Arsenal,Liverpool,D,2.4,1.7,2012
Everton,West Brom,H,1.6,1.67,2012
Fulham,West Ham,H,2.2,1.83,2012
Man United,Southampton,H,1.25,1.36,2012
Norwich,Tottenham,D,4.75,1.78,2012
Reading,Chelsea,D,7.5,1.58,2012
Arsenal,Stoke,H,1.44,1.74,2012
Everton,Aston Villa,D,1.4,1.66,2012
Fulham,Man United,A,5.5,1.6,2012
Newcastle,Chelsea,H,4.0,1.74,2012
QPR,Norwich,D,1.95,1.91,2012
Reading,Sunderland,H,2.5,1.96,2012
West Ham,Swansea,H,2.4,1.9,2012
Wigan,Southampton,D,2.2,1.8,2012
Man City,Liverpool,D,1.83,1.67,2012
West Brom,Tottenham,A,3.6,1.88,2012
Chelsea,Wigan,H,1.36,1.49,2012
Norwich,Fulham,D,2.3,1.95,2012
Southampton,Man City,H,5.75,1.73,2012
Stoke,Reading,H,1.91,2.03,2012
Sunderland,Arsenal,A,4.5,1.87,2012
Swansea,QPR,H,1.83,2.05,2012
Tottenham,Newcastle,H,1.67,1.69,2012
Aston Villa,West Ham,H,2.63,1.95,2012
Man United,Everton,H,1.75,1.62,2012
Liverpool,West Brom,A,1.4,1.61,2012
Liverpool,Swansea,H,1.57,1.66,2012
Arsenal,Aston Villa,H,1.33,1.53,2012
Fulham,Stoke,H,2.2,2.15,2012
Norwich,Everton,H,3.8,1.96,2012
QPR,Man United,A,7.0,1.73,2012
Reading,Wigan,A,2.63,1.82,2012
West Brom,Sunderland,H,2.05,1.99,2012
Man City,Chelsea,H,1.95,1.71,2012
Newcastle,Southampton,H,2.2,1.76,2012
West Ham,Tottenham,A,3.6,1.89,2012
Chelsea,West Brom,H,1.4,1.57,2012
Everton,Reading,H,1.38,1.63,2012
Man United,Norwich,H,1.33,1.58,2012
Southampton,QPR,A,1.85,1.84,2012
Stoke,West Ham,A,2.15,2.15,2012
Sunderland,Fulham,D,2.4,2.07,2012
Swansea,Newcastle,H,2.1,1.79,2012
Wigan,Liverpool,A,4.5,1.7,2012
Tottenham,Arsenal,H,2.3,1.66,2012
Aston Villa,Man City,A,7.5,1.71,2012
Norwich,Southampton,D,2.5,1.88,2012
QPR,Sunderland,H,2.25,2.07,2012
Reading,Aston Villa,A,2.45,1.82,2012
West Brom,Swansea,H,2.45,1.84,2012
Liverpool,Tottenham,H,1.95,1.64,2012
Newcastle,Stoke,H,1.83,2.05,2012
Aston Villa,QPR,H,2.3,1.92,2012
Everton,Man City,H,3.9,1.81,2012
Man United,Reading,H,1.17,1.31,2012
Southampton,Liverpool,H,4.2,1.68,2012
Stoke,West Brom,D,2.5,2.14,2012
Swansea,Arsenal,A,3.4,1.78,2012
Chelsea,West Ham,H,1.4,1.53,2012
Sunderland,Norwich,D,2.05,2.06,2012
Tottenham,Fulham,A,1.5,1.64,2012
Wigan,Newcastle,H,2.3,1.77,2012
Arsenal,Reading,H,1.25,1.41,2012
Everton,Stoke,H,1.57,2.04,2012
Man City,Newcastle,H,1.33,1.56,2012
Southampton,Chelsea,H,3.5,1.71,2012
Sunderland,Man United,A,6.0,1.94,2012
Swansea,Tottenham,A,3.4,1.85,2012
West Ham,West Brom,H,2.3,1.95,2012
Wigan,Norwich,H,1.95,1.88,2012
Aston Villa,Liverpool,A,5.0,1.67,2012
Fulham,QPR,H,2.0,1.91,2012
Norwich,Swansea,D,2.63,2.06,2012
Reading,Southampton,A,3.3,1.7,2012
Stoke,Aston Villa,A,2.1,2.19,2012
West Brom,Arsenal,A,4.1,1.73,2012
Chelsea,Sunderland,H,1.36,1.68,2012
Liverpool,West Ham,D,1.36,1.55,2012
Newcastle,Fulham,H,2.1,1.81,2012
QPR,Wigan,D,2.38,1.85,2012
Tottenham,Everton,D,2.2,2.06,2012
Man United,Man City,A,2.3,1.75,2012
Arsenal,Norwich,H,1.25,1.48,2012
Aston Villa,Fulham,D,2.3,1.94,2012
Everton,QPR,H,1.44,1.72,2012
Reading,Liverpool,D,8.0,1.57,2012
Southampton,West Ham,D,1.91,1.86,2012
Newcastle,Sunderland,A,1.95,1.96,2012
Stoke,Man United,A,7.0,2.01,2012
Arsenal,Everton,D,1.75,1.68,2012
Fulham,Chelsea,A,4.75,1.75,2012
Man City,Wigan,H,1.25,1.5,2012
West Ham,Man United,D,5.5,1.77,2012
Fulham,Arsenal,A,5.0,1.67,2012
Norwich,Reading,H,1.75,1.84,2012
QPR,Stoke,A,2.25,2.17,2012
Sunderland,Everton,H,3.4,2.06,2012
Swansea,Southampton,D,2.38,1.75,2012
West Brom,Newcastle,D,2.25,1.77,2012
West Ham,Wigan,H,2.3,1.86,2012
Liverpool,Chelsea,D,2.15,1.73,2012
Tottenham,Man City,H,3.25,1.87,2012
Man United,Aston Villa,H,1.25,1.39,2012
Everton,Fulham,H,1.5,1.72,2012
Man City,West Ham,H,1.29,1.51,2012
Newcastle,Liverpool,A,2.88,1.81,2012
Southampton,West Brom,A,1.85,1.79,2012
Stoke,Norwich,H,2.25,2.35,2012
Wigan,Tottenham,D,3.8,1.75,2012
Arsenal,Man United,D,2.25,1.72,2012
Chelsea,Swansea,H,1.36,1.52,2012
Reading,QPR,D,2.55,1.86,2012
Aston Villa,Sunderland,H,2.3,2.0,2012
Fulham,Reading,A,1.73,1.72,2012
Norwich,Aston Villa,A,2.55,1.98,2012
QPR,Arsenal,A,8.0,1.64,2012
Swansea,Man City,D,5.25,1.88,2012
Tottenham,Southampton,H,1.44,1.67,2012
West Brom,Wigan,A,2.45,1.77,2012
West Ham,Newcastle,D,2.38,1.82,2012
Liverpool,Everton,D,1.95,1.78,2012
Man United,Chelsea,A,2.2,1.72,2012
Sunderland,Stoke,D,2.1,2.34,2012
Man City,West Brom,H,1.4,1.53,2012
Wigan,Swansea,A,1.83,1.89,2012
Chelsea,Tottenham,D,1.95,1.71,2012
Aston Villa,Chelsea,A,4.5,1.69,2012
Everton,West Ham,H,1.5,1.75,2012
Fulham,Liverpool,A,3.9,1.67,2012
Man United,Swansea,H,1.3,1.49,2012
Norwich,West Brom,H,2.2,1.89,2012
QPR,Newcastle,A,3.4,1.88,2012
Stoke,Tottenham,A,4.5,2.05,2012
Sunderland,Southampton,D,2.8,2.11,2012
Arsenal,Wigan,H,1.4,1.44,2012
Reading,Man City,A,6.0,1.55,2012
Chelsea,Everton,H,1.7,1.66,2012
Liverpool,QPR,H,1.25,1.41,2012
Man City,Norwich,A,1.33,1.48,2012
Newcastle,Arsenal,A,6.0,1.53,2012
Southampton,Stoke,D,1.75,2.11,2012
Swansea,Fulham,A,1.8,1.79,2012
Tottenham,Sunderland,H,1.29,1.53,2012
West Brom,Man United,D,4.5,1.6,2012
West Ham,Reading,H,1.67,1.64,2012
Wigan,Aston Villa,D,2.15,1.71,2012
Arsenal,Aston Villa,A,1.44,1.56,2013
Liverpool,Stoke,H,1.4,1.79,2013
Norwich,Everton,D,3.2,1.98,2013
Sunderland,Fulham,A,2.3,2.04,2013
Swansea,Man United,A,4.2,1.83,2013
West Brom,Southampton,A,2.4,1.87,2013
West Ham,Cardiff,H,2.0,1.89,2013
Chelsea,Hull,H,1.2,1.53,2013
Crystal Palace,Tottenham,A,4.75,1.81,2013
Man City,Newcastle,H,1.33,1.6,2013
Chelsea,Aston Villa,H,1.29,1.55,2013
Aston Villa,Liverpool,A,4.0,1.73,2013
Everton,West Brom,D,1.57,1.79,2013
Fulham,Arsenal,A,3.8,1.8,2013
Hull,Norwich,H,2.45,2.17,2013
Newcastle,West Ham,D,2.3,1.98,2013
Southampton,Sunderland,D,1.73,1.96,2013
Stoke,Crystal Palace,H,1.83,2.19,2013
Cardiff,Man City,H,8.5,1.66,2013
Tottenham,Swansea,H,1.62,1.79,2013
Man United,Chelsea,D,2.45,1.78,2013
Cardiff,Everton,D,3.25,2.01,2013
Crystal Palace,Sunderland,H,2.6,2.15,2013
Man City,Hull,H,1.17,1.46,2013
Newcastle,Fulham,H,2.15,1.95,2013
Norwich,Southampton,H,3.0,1.98,2013
West Ham,Stoke,A,2.0,2.06,2013
Arsenal,Tottenham,H,2.1,1.7,2013
Liverpool,Man United,H,2.63,1.85,2013
West Brom,Swansea,A,2.7,1.82,2013
Aston Villa,Newcastle,A,2.15,1.89,2013
Everton,Chelsea,H,3.4,2.02,2013
Fulham,West Brom,D,2.15,1.94,2013
Hull,Cardiff,D,2.45,2.24,2013
Man United,Crystal Palace,H,1.22,1.48,2013
Stoke,Man City,D,6.0,1.92,2013
Sunderland,Arsenal,A,6.0,1.92,2013
Tottenham,Norwich,H,1.45,1.72,2013
Southampton,West Ham,D,1.85,2.01,2013
Swansea,Liverpool,D,3.5,1.97,2013
Chelsea,Fulham,H,1.3,1.61,2013
Liverpool,Southampton,A,1.6,1.81,2013
Newcastle,Hull,A,1.85,2.04,2013
Norwich,Aston Villa,A,2.4,1.91,2013
West Brom,Sunderland,H,2.05,2.02,2013
West Ham,Everton,A,3.3,2.1,2013
Arsenal,Stoke,H,1.36,1.7,2013
Cardiff,Tottenham,A,4.5,1.95,2013
Crystal Palace,Swansea,A,3.5,2.07,2013
Man City,Man United,H,2.2,1.78,2013
Aston Villa,Man City,H,6.5,1.69,2013
Fulham,Cardiff,A,2.1,2.02,2013
Hull,West Ham,H,2.38,2.21,2013
Man United,West Brom,A,1.3,1.58,2013
Southampton,Crystal Palace,H,1.45,1.87,2013
Swansea,Arsenal,A,3.2,1.78,2013
Tottenham,Chelsea,D,2.7,2.05,2013
Stoke,Norwich,A,1.95,2.23,2013
Sunderland,Liverpool,A,5.5,1.93,2013
Everton,Newcastle,H,1.65,1.83,2013
Cardiff,Newcastle,A,2.45,1.98,2013
Fulham,Stoke,H,2.4,2.15,2013
Hull,Aston Villa,D,2.45,2.09,2013
Liverpool,Crystal Palace,H,1.2,1.51,2013
Man City,Everton,H,1.67,1.69,2013
Sunderland,Man United,A,6.0,1.87,2013
Norwich,Chelsea,A,6.5,1.89,2013
Southampton,Swansea,H,2.1,1.92,2013
Tottenham,West Ham,A,1.44,1.77,2013
West Brom,Arsenal,D,4.9,1.69,2013
Arsenal,Norwich,H,1.29,1.58,2013
Chelsea,Cardiff,H,1.25,1.54,2013
Everton,Hull,H,1.45,1.83,2013
Man United,Southampton,D,1.57,1.74,2013
Newcastle,Liverpool,D,4.5,1.68,2013
Stoke,West Brom,D,2.3,2.22,2013
Swansea,Sunderland,H,1.62,1.82,2013
West Ham,Man City,A,5.5,1.79,2013
Aston Villa,Tottenham,A,4.0,1.92,2013
Crystal Palace,Fulham,A,2.75,2.08,2013
Aston Villa,Everton,A,3.4,1.88,2013
Crystal Palace,Arsenal,A,11.0,1.61,2013
Liverpool,West Brom,H,1.44,1.55,2013
Man United,Stoke,H,1.33,1.72,2013
Norwich,Cardiff,D,2.2,2.04,2013
Southampton,Fulham,H,1.62,1.87,2013
Chelsea,Man City,H,2.38,1.76,2013
Sunderland,Newcastle,H,2.9,1.84,2013
Swansea,West Ham,D,1.75,1.83,2013
Tottenham,Hull,H,1.44,1.81,2013
Arsenal,Liverpool,H,2.3,1.65,2013
Fulham,Man United,A,6.5,1.74,2013
Hull,Sunderland,H,2.15,2.2,2013
Man City,Norwich,H,1.2,1.5,2013
Newcastle,Chelsea,H,6.0,1.75,2013
Stoke,Southampton,D,3.3,2.36,2013
West Brom,Crystal Palace,H,1.55,1.75,2013
West Ham,Aston Villa,D,2.25,1.95,2013
Cardiff,Swansea,H,3.4,2.02,2013
Everton,Tottenham,D,2.5,1.98,2013
Aston Villa,Cardiff,H,2.0,2.09,2013
Chelsea,West Brom,D,1.29,1.57,2013
Crystal Palace,Everton,D,6.5,1.85,2013
Liverpool,Fulham,H,1.25,1.48,2013
Norwich,West Ham,H,2.63,2.12,2013
Southampton,Hull,H,1.62,2.19,2013
Man United,Arsenal,H,2.35,1.75,2013
Sunderland,Man City,H,9.0,1.59,2013
Swansea,Stoke,D,2.0,2.19,2013
Tottenham,Newcastle,A,1.57,1.79,2013
Arsenal,Southampton,H,1.62,1.84,2013
Everton,Liverpool,D,3.0,1.87,2013
Fulham,Swansea,A,3.3,2.12,2013
Hull,Crystal Palace,A,1.85,2.24,2013
Newcastle,Norwich,H,1.8,1.77,2013
Stoke,Sunderland,H,2.15,2.29,2013
West Ham,Chelsea,A,6.0,1.85,2013
Cardiff,Man United,D,6.0,1.79,2013
Man City,Tottenham,H,1.7,1.8,2013
West Brom,Aston Villa,D,2.15,1.98,2013
Aston Villa,Sunderland,D,2.0,2.07,2013
Cardiff,Arsenal,A,6.5,1.79,2013
Everton,Stoke,H,1.62,2.02,2013
Newcastle,West Brom,H,2.05,1.79,2013
Norwich,Crystal Palace,H,2.0,2.06,2013
West Ham,Fulham,H,1.91,1.95,2013
Chelsea,Southampton,H,1.57,1.81,2013
Hull,Liverpool,H,6.5,1.87,2013
Man City,Swansea,H,1.29,1.54,2013
Tottenham,Man United,D,2.8,1.98,2013
Crystal Palace,West Ham,H,3.25,2.11,2013
Arsenal,Hull,H,1.2,1.58,2013
Fulham,Tottenham,A,5.8,1.83,2013
Liverpool,Norwich,H,1.29,1.45,2013
Man United,Everton,A,1.73,1.76,2013
Southampton,Aston Villa,A,1.7,1.97,2013
Stoke,Cardiff,D,2.1,2.25,2013
Sunderland,Chelsea,A,6.5,1.81,2013
Swansea,Newcastle,H,2.2,1.79,2013
West Brom,Man City,A,6.0,1.62,2013
Crystal Palace,Cardiff,H,2.8,2.28,2013
Liverpool,West Ham,H,1.29,1.52,2013
Man United,Newcastle,A,1.53,1.63,2013
Southampton,Man City,D,5.25,1.77,2013
Stoke,Chelsea,H,6.5,2.01,2013
Sunderland,Tottenham,A,4.5,2.04,2013
West Brom,Norwich,A,1.8,1.84,2013
Arsenal,Everton,D,1.7,1.72,2013
Fulham,Aston Villa,H,2.75,1.88,2013
Swansea,Hull,D,1.75,2.08,2013
Cardiff,West Brom,H,2.63,2.03,2013
Chelsea,Crystal Palace,H,1.18,1.52,2013
Everton,Fulham,H,1.36,1.62,2013
Hull,Stoke,D,2.3,2.48,2013
Man City,Arsenal,H,1.83,1.64,2013
Newcastle,Southampton,D,2.4,1.92,2013
West Ham,Sunderland,D,1.95,2.04,2013
Aston Villa,Man United,A,5.25,1.85,2013
Norwich,Swansea,D,2.88,2.02,2013
Tottenham,Liverpool,A,2.5,1.77,2013
Crystal Palace,Newcastle,A,3.25,2.14,2013
Fulham,Man City,A,9.5,1.45,2013
Liverpool,Cardiff,H,1.2,1.47,2013
Man United,West Ham,H,1.36,1.69,2013
Stoke,Aston Villa,H,2.3,2.3,2013
Sunderland,Norwich,D,2.05,1.98,2013
West Brom,Hull,D,1.95,2.16,2013
Southampton,Tottenham,A,2.55,2.05,2013
Swansea,Everton,A,3.0,1.92,2013
Arsenal,Chelsea,D,2.38,1.78,2013
Aston Villa,Crystal Palace,A,1.91,2.16,2013
Cardiff,Southampton,A,3.3,2.19,2013
Chelsea,Swansea,H,1.33,1.67,2013
Everton,Sunderland,A,1.36,1.68,2013
Hull,Man United,A,7.0,1.92,2013
Man City,Liverpool,H,1.75,1.45,2013
Newcastle,Stoke,H,1.75,2.11,2013
Norwich,Fulham,A,2.05,1.86,2013
Tottenham,West Brom,D,1.53,1.67,2013
West Ham,Arsenal,A,6.5,1.73,2013
Aston Villa,Swansea,D,3.0,2.1,2013
Cardiff,Sunderland,D,2.38,2.16,2013
Hull,Fulham,H,2.05,2.19,2013
Man City,Crystal Palace,H,1.13,1.34,2013
Norwich,Man United,A,6.5,1.77,2013
West Ham,West Brom,D,2.38,1.95,2013
Chelsea,Liverpool,H,2.2,1.63,2013
Everton,Southampton,H,1.83,1.88,2013
Newcastle,Arsenal,A,4.0,1.74,2013
Tottenham,Stoke,H,1.44,1.93,2013
Arsenal,Cardiff,H,1.29,1.61,2013
Crystal Palace,Norwich,D,2.38,2.24,2013
Fulham,West Ham,H,2.5,1.74,2013
Liverpool,Hull,H,1.3,1.53,2013
Man United,Tottenham,A,1.8,1.71,2013
Southampton,Chelsea,A,4.0,1.89,2013
Stoke,Everton,D,4.0,2.06,2013
Sunderland,Aston Villa,A,2.15,2.07,2013
Swansea,Man City,A,5.75,1.58,2013
West Brom,Newcastle,H,2.6,1.86,2013
Cardiff,West Ham,A,2.0,1.95,2013
Everton,Norwich,H,1.4,1.69,2013
Fulham,Sunderland,A,2.2,1.89,2013
Hull,Chelsea,A,6.5,2.02,2013
Man United,Swansea,H,1.57,1.78,2013
Southampton,West Brom,H,1.83,1.89,2013
Tottenham,Crystal Palace,H,1.36,1.76,2013
Newcastle,Man City,A,5.25,1.56,2013
Stoke,Liverpool,A,5.75,1.73,2013
Aston Villa,Arsenal,A,6.0,1.73,2013
Arsenal,Fulham,H,1.22,1.44,2013
Crystal Palace,Stoke,H,2.35,2.31,2013
Liverpool,Aston Villa,D,1.22,1.42,2013
Man City,Cardiff,H,1.13,1.36,2013
Norwich,Hull,H,2.4,2.3,2013
Sunderland,Southampton,D,3.2,2.07,2013
West Ham,Newcastle,A,3.0,1.86,2013
Chelsea,Man United,H,1.73,1.95,2013
Swansea,Tottenham,A,3.25,1.93,2013
West Brom,Everton,D,3.5,1.88,2013
Crystal Palace,Hull,H,2.5,2.55,2013
Liverpool,Everton,H,1.83,1.58,2013
Man United,Cardiff,H,1.25,1.61,2013
Norwich,Newcastle,D,2.7,1.93,2013
Southampton,Arsenal,D,4.33,1.89,2013
Swansea,Fulham,H,1.75,1.72,2013
Aston Villa,West Brom,H,2.6,1.95,2013
Chelsea,West Ham,D,1.18,1.49,2013
Sunderland,Stoke,H,2.1,2.24,2013
Tottenham,Man City,A,3.75,1.59,2013
Cardiff,Norwich,H,2.3,2.05,2013
Everton,Aston Villa,H,1.53,1.74,2013
Fulham,Southampton,A,3.6,1.78,2013
Hull,Tottenham,D,4.0,1.95,2013
Newcastle,Sunderland,A,1.95,1.91,2013
Stoke,Man United,H,7.0,1.82,2013
West Ham,Swansea,H,2.9,1.95,2013
Arsenal,Crystal Palace,H,1.22,1.62,2013
West Brom,Liverpool,D,5.75,1.55,2013
Man City,Chelsea,A,1.85,1.72,2013
Aston Villa,West Ham,A,2.1,1.99,2013
Chelsea,Newcastle,H,1.25,1.67,2013
Crystal Palace,West Brom,H,2.6,2.32,2013
Liverpool,Arsenal,H,2.2,1.63,2013
Norwich,Man City,D,9.0,1.48,2013
Southampton,Stoke,D,1.55,2.05,2013
Sunderland,Hull,A,2.15,2.32,2013
Swansea,Cardiff,H,1.85,1.99,2013
Man United,Fulham,D,1.2,1.48,2013
Tottenham,Everton,H,2.1,1.85,2013
Cardiff,Aston Villa,D,2.5,2.03,2013
Hull,Southampton,A,3.0,2.23,2013
West Brom,Chelsea,D,7.5,1.87,2013
West Ham,Norwich,H,2.05,1.94,2013
Arsenal,Man United,D,2.15,1.8,2013
Fulham,Liverpool,A,8.0,1.48,2013
Newcastle,Tottenham,A,3.3,1.91,2013
Stoke,Swansea,D,2.7,2.26,2013
Arsenal,Sunderland,H,1.33,1.73,2013
Cardiff,Hull,A,2.75,2.41,2013
Chelsea,Everton,H,1.57,1.94,2013
Crystal Palace,Man United,A,6.5,1.97,2013
Man City,Stoke,H,1.18,1.41,2013
West Brom,Fulham,D,1.8,1.79,2013
West Ham,Southampton,H,3.2,2.04,2013
Liverpool,Swansea,H,1.3,1.46,2013
Newcastle,Aston Villa,H,2.1,2.0,2013
Norwich,Tottenham,H,3.8,1.96,2013
Everton,West Ham,H,1.53,1.77,2013
Fulham,Chelsea,A,8.0,1.72,2013
Hull,Newcastle,A,2.45,2.31,2013
Southampton,Liverpool,A,3.75,1.58,2013
Stoke,Arsenal,H,5.5,1.97,2013
Aston Villa,Norwich,H,2.1,2.15,2013
Swansea,Crystal Palace,D,1.85,2.1,2013
Tottenham,Cardiff,H,1.33,1.7,2013
Cardiff,Fulham,H,2.35,1.92,2013
Chelsea,Tottenham,H,1.57,1.85,2013
Crystal Palace,Southampton,A,3.9,2.25,2013
Norwich,Stoke,D,2.25,2.34,2013
West Brom,Man United,A,5.0,1.99,2013
Aston Villa,Chelsea,H,7.0,1.94,2013
Everton,Cardiff,H,1.36,1.75,2013
Fulham,Newcastle,H,2.9,1.81,2013
Hull,Man City,A,6.5,1.74,2013
Southampton,Norwich,H,1.62,1.93,2013
Stoke,West Ham,H,2.25,2.35,2013
Sunderland,Crystal Palace,D,2.15,2.35,2013
Swansea,West Brom,A,1.95,1.96,2013
Man United,Liverpool,A,2.5,1.71,2013
Tottenham,Arsenal,A,3.1,1.93,2013
Cardiff,Liverpool,A,9.5,1.49,2013
Chelsea,Arsenal,H,1.85,2.03,2013
Everton,Swansea,H,1.67,1.49,2013
Hull,West Brom,H,2.25,2.3,2013
Man City,Fulham,H,1.17,1.31,2013
Newcastle,Crystal Palace,H,1.85,2.17,2013
Norwich,Sunderland,H,2.2,2.18,2013
West Ham,Man United,A,4.5,1.89,2013
Aston Villa,Stoke,A,2.2,2.28,2013
Tottenham,Southampton,H,2.25,2.0,2013
Arsenal,Swansea,D,1.57,1.78,2013
Man United,Man City,A,3.5,1.69,2013
Newcastle,Everton,A,3.5,1.95,2013
Liverpool,Sunderland,H,1.17,1.36,2013
West Ham,Hull,H,2.4,2.23,2013
Arsenal,Man City,D,3.6,1.71,2013
Crystal Palace,Chelsea,H,10.0,2.03,2013
Man United,Aston Villa,H,1.45,1.75,2013
Southampton,Newcastle,H,1.75,1.79,2013
Stoke,Hull,H,2.15,2.35,2013
Swansea,Norwich,H,1.73,1.93,2013
West Brom,Cardiff,D,1.83,1.91,2013
Fulham,Everton,A,5.0,1.79,2013
Liverpool,Tottenham,H,1.48,1.45,2013
Sunderland,West Ham,A,2.3,2.08,2013
Aston Villa,Fulham,A,2.05,1.79,2013
Cardiff,Crystal Palace,A,2.45,2.28,2013
Chelsea,Stoke,H,1.29,1.79,2013
Hull,Swansea,H,2.75,2.3,2013
Man City,Southampton,H,1.33,1.46,2013
Newcastle,Man United,A,4.2,1.83,2013
Norwich,West Brom,A,2.4,2.12,2013
Everton,Arsenal,H,2.5,1.87,2013
West Ham,Liverpool,A,9.0,1.44,2013
Tottenham,Sunderland,H,1.57,1.75,2013
Crystal Palace,Aston Villa,H,2.15,2.4,2013
Fulham,Norwich,H,2.15,1.89,2013
Southampton,Cardiff,A,1.45,1.62,2013
Stoke,Newcastle,H,2.1,2.17,2013
Sunderland,Everton,A,4.75,1.87,2013
West Brom,Tottenham,D,3.1,1.89,2013
Liverpool,Man City,H,2.45,1.51,2013
Swansea,Chelsea,A,5.0,2.04,2013
Arsenal,West Ham,H,1.4,1.63,2013
Everton,Crystal Palace,A,1.4,1.84,2013
Man City,Sunderland,D,1.17,1.34,2013
Aston Villa,Southampton,D,3.4,1.95,2013
Cardiff,Stoke,D,2.38,2.11,2013
Chelsea,Sunderland,A,1.18,1.52,2013
Newcastle,Swansea,A,2.63,1.93,2013
Tottenham,Fulham,H,1.5,1.56,2013
West Ham,Crystal Palace,A,2.2,2.21,2013
Everton,Man United,H,2.4,1.89,2013
Hull,Arsenal,A,4.5,1.97,2013
Norwich,Liverpool,A,8.5,1.41,2013
Man City,West Brom,H,1.2,1.32,2013
Fulham,Hull,D,2.3,2.02,2013
Man United,Norwich,H,1.36,1.55,2013
Southampton,Everton,H,2.8,1.74,2013
Stoke,Tottenham,A,3.2,1.97,2013
Swansea,Aston Villa,H,1.7,2.05,2013
West Brom,West Ham,H,1.91,1.72,2013
Crystal Palace,Man City,A,7.5,1.64,2013
Liverpool,Chelsea,A,1.67,1.58,2013
Sunderland,Cardiff,H,1.91,1.84,2013
Arsenal,Newcastle,H,1.29,1.52,2013
Aston Villa,Hull,H,2.5,2.27,2013
Everton,Man City,A,5.0,1.55,2013
Man United,Sunderland,A,1.36,1.48,2013
Newcastle,Cardiff,H,2.05,1.68,2013
Stoke,Fulham,H,2.3,1.91,2013
Swansea,Southampton,A,2.5,1.8,2013
West Ham,Tottenham,H,4.33,1.68,2013
Arsenal,West Brom,H,1.29,1.49,2013
Chelsea,Norwich,D,1.2,1.48,2013
Crystal Palace,Liverpool,D,9.0,1.58,2013
Man United,Hull,H,1.36,1.55,2013
Man City,Aston Villa,H,1.14,1.31,2013
Sunderland,West Brom,H,2.1,1.98,2013
Cardiff,Chelsea,A,8.0,1.54,2013
Fulham,Crystal Palace,D,2.63,1.73,2013
Hull,Everton,A,4.0,1.75,2013
Liverpool,Newcastle,H,1.22,1.29,2013
Man City,West Ham,H,1.17,1.31,2013
Norwich,Arsenal,A,4.5,1.57,2013
Southampton,Man United,D,2.63,1.71,2013
Sunderland,Swansea,A,2.3,1.86,2013
Tottenham,Aston Villa,H,1.5,1.57,2013
West Brom,Stoke,A,2.1,1.84,2013
Arsenal,Crystal Palace,H,1.25,1.72,2014
Leicester,Everton,D,3.2,2.0,2014
Man United,Swansea,A,1.36,1.71,2014
QPR,Hull,A,2.5,2.36,2014
Stoke,Aston Villa,A,1.95,2.31,2014
West Brom,Sunderland,D,2.25,2.14,2014
West Ham,Tottenham,A,3.8,1.98,2014
Liverpool,Southampton,H,1.33,1.6,2014
Newcastle,Man City,A,5.25,1.66,2014
Burnley,Chelsea,A,9.0,1.85,2014
Aston Villa,Newcastle,D,2.5,2.1,2014
Chelsea,Leicester,H,1.2,1.52,2014
Crystal Palace,West Ham,A,2.5,2.45,2014
Everton,Arsenal,D,2.8,1.83,2014
Southampton,West Brom,D,1.85,1.89,2014
Swansea,Burnley,H,1.65,1.84,2014
Hull,Stoke,D,2.5,2.51,2014
Sunderland,Man United,D,5.0,1.86,2014
Tottenham,QPR,H,1.45,1.76,2014
Man City,Liverpool,H,1.85,1.61,2014
Burnley,Man United,D,6.0,1.91,2014
Everton,Chelsea,A,3.75,2.07,2014
Man City,Stoke,A,1.18,1.54,2014
Newcastle,Crystal Palace,D,1.75,2.18,2014
QPR,Sunderland,H,2.4,2.37,2014
Swansea,West Brom,H,1.85,1.95,2014
West Ham,Southampton,A,2.8,2.04,2014
Aston Villa,Hull,H,2.3,2.61,2014
Leicester,Arsenal,D,4.75,1.81,2014
Tottenham,Liverpool,A,2.7,1.64,2014
Arsenal,Man City,D,3.0,1.81,2014
Chelsea,Swansea,H,1.3,1.73,2014
Crystal Palace,Burnley,D,2.25,2.29,2014
Liverpool,Aston Villa,A,1.3,1.53,2014
Southampton,Newcastle,H,1.8,2.02,2014
Stoke,Leicester,A,2.1,2.31,2014
Sunderland,Tottenham,D,3.6,1.97,2014
West Brom,Everton,A,3.5,1.88,2014
Man United,QPR,H,1.29,1.64,2014
Hull,West Ham,D,2.15,2.33,2014
Aston Villa,Arsenal,A,4.75,1.98,2014
Burnley,Sunderland,D,2.5,2.25,2014
Newcastle,Hull,D,2.2,2.18,2014
QPR,Stoke,D,2.8,2.44,2014
